Date,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLV,XLF
12/1/2012,62.603069,28.940535,26.244787,33.596809,30.36375,43.878223,34.019848,36.737881,9.317031
1/1/2013,68.146492,30.658463,26.898983,35.230061,32.437607,46.66367,36.240566,39.742626,9.941713
2/1/2013,68.446045,31.370863,27.109421,34.751534,33.510941,47.408356,37.045311,40.242775,10.06184
3/1/2013,69.873268,32.770523,27.694977,35.374519,34.988987,49.335217,37.759632,42.558243,10.41649
4/1/2013,69.266037,35.024918,28.295116,35.855659,36.196285,50.986031,37.641979,44.026089,10.732852
5/1/2013,71.239502,31.854668,29.085173,36.535603,35.409405,52.395832,39.530891,44.75164,11.387154
6/1/2013,69.292595,31.812395,28.102196,34.76775,35.073437,52.657242,38.722656,44.286549,11.163313
7/1/2013,73.288223,33.531788,29.296679,36.979767,36.832981,55.60775,41.220699,47.673363,11.807622
8/1/2013,72.532379,31.857759,28.991982,36.934093,35.159973,54.024841,40.198391,45.991432,11.202547
9/1/2013,73.72393,31.917562,29.582905,38.377468,35.418045,56.787899,42.361656,47.271564,11.473391
10/1/2013,77.174675,33.439095,31.219822,40.185558,37.92564,59.56604,44.583313,49.511959,11.900473
11/1/2013,77.219337,32.792381,32.184708,40.708881,38.516693,61.62328,46.215527,51.848232,12.426938
12/1/2013,79.068535,32.74065,33.15889,42.434925,38.489819,62.778717,47.921104,52.017113,12.646784
1/1/2014,74.83271,34.075947,32.464569,40.687988,36.779228,59.24826,46.109909,52.721241,12.241246
2/1/2014,78.664993,35.252483,33.891075,43.496613,38.213943,63.039707,47.98085,55.999828,12.613252
3/1/2014,79.93045,36.132698,33.891075,43.681381,38.85461,61.040226,48.229691,55.104816,12.985256
4/1/2014,84.544525,37.971615,34.130512,44.217216,40.122494,60.399292,49.087772,54.945663,12.81168
5/1/2014,85.960526,37.558598,35.413342,45.525085,40.848026,62.140121,50.031948,56.524464,13.004202
6/1/2014,90.28064,38.894318,35.909626,46.044533,40.467121,63.142998,50.041214,57.507652,13.266739
7/1/2014,87.555672,36.559208,36.686623,45.337513,39.393131,62.538063,48.195896,57.799557,13.125956
8/1/2014,89.467529,38.35836,37.890694,47.0895,41.210281,65.319,50.232342,60.598911,13.682389
9/1/2014,82.110077,37.303684,37.533241,46.213505,41.192024,63.297356,49.423347,60.646355,13.571102
10/1/2014,79.618156,40.662552,38.299408,45.313721,42.923203,64.851837,51.581078,64.062317,14.021242
11/1/2014,72.696434,41.136517,40.141636,46.025253,45.30323,68.38488,53.169331,66.290726,17.65111
12/1/2014,72.095322,42.898232,39.064636,45.482235,44.558903,68.708656,53.71122,66.062172,18.063795
1/1/2015,69.23494,43.479095,37.890869,44.930443,44.444336,66.927979,52.603546,67.807373,17.020868
2/1/2015,72.414871,40.80846,40.920238,48.510559,46.28616,72.646378,52.969959,69.049965,14.394361
3/1/2015,71.095245,40.086662,39.353317,45.957367,45.110725,72.053505,52.396851,71.391785,14.252486
4/1/2015,76.283775,40.565979,40.601421,47.682125,45.042435,72.257118,53.137856,71.150558,17.610298
5/1/2015,72.325645,40.593258,41.354706,47.861809,45.43354,73.206978,52.675373,71.179306,14.596427
6/1/2015,69.345512,39.392918,39.476257,45.76236,44.325405,73.379684,51.023663,71.303909,18.165413
7/1/2015,64.43792,39.668636,40.784096,43.653435,47.139507,77.212677,51.476185,74.107964,18.494259
8/1/2015,61.744492,39.255718,38.810982,41.211884,44.328568,72.169121,48.649597,67.798447,16.381468
9/1/2015,56.84988,39.723698,37.834003,37.95332,44.234859,71.456863,47.150932,63.701107,16.616222
10/1/2015,63.650139,40.524868,41.997471,43.256226,47.047554,78.228249,51.754356,68.922607,17.751675
11/1/2015,63.640793,39.663422,42.295738,43.686115,46.604328,78.044678,52.202572,68.64267,14.707984
12/1/2015,56.436527,40.089516,41.208515,41.479359,47.613369,75.513412,50.552761,69.530754,14.270818
1/1/2016,54.955673,42.506699,39.87801,37.314655,48.220581,71.896729,47.962196,64.435471,13.08872
